city,land area,land,INTPTLAT,INTPTLONG
Abbott,0.592,1532748,31.885139,-97.074106
Abernathy,3.202,8294232,33.826811,-101.85205
Abilene,106.669,276270544,32.454514,-99.738147
Abram,3.065,7938808,26.211634,-98.41185
Acala,2.842,7359831,31.334406,-105.902786
Ackerly,0.311,805187,32.525063,-101.715847
Addison,4.353,11273468,32.963744,-96.833805
Adrian,0.47,1217792,35.274119,-102.667247
Agua Dulce,7.797,20194254,31.654853,-106.136903
Agua Dulce,0.341,883360,27.78273,-97.90985
Aguilares,0.3,777052,27.451627,-99.093233
Airport Heights,0.04,102481,26.408735,-98.836695
Airport Road Addition,2.114,5475252,27.218988,-98.098093
Alamo,7.653,19820927,26.180987,-98.11753
Alamo Beach,0.757,1959377,28.572277,-96.564179
Alamo Heights,1.841,4767672,29.482803,-98.468191
Alanreed,0.46,1191506,35.211987,-100.732629
Alba,1.053,2726709,32.786667,-95.632463
Albany,1.567,4057325,32.727266,-99.295664
Aldine,7.872,20387643,29.913438,-95.377431
Aledo,2.87,7434167,32.698254,-97.608384
Alfred,1.237,3203175,27.874076,-97.979863
Alice,11.992,31060212,27.755616,-98.065812
Alice Acres,5.895,15267641,27.711892,-98.107973
Allen,26.402,68380729,33.109736,-96.673032
Allison,2.037,5276664,35.61198,-100.111539
Alma,5.478,14188131,32.276227,-96.543181
Alpine,4.827,12500810,30.363905,-103.664456
Alto,1.705,4415458,31.650982,-95.070785
Alto Bonito Heights,0.051,133278,26.315777,-98.641329
Alton,7.597,19676297,26.288775,-98.310581
Alvarado,6.774,17544861,32.409379,-97.210786
Alvin,22.908,59330906,29.424772,-95.224432
Alvord,1.523,3944172,33.356968,-97.696026
Amada Acres,0.072,187160,26.343268,-98.739267
Amargosa,1.336,3459515,27.892949,-98.108861
Amarillo,103.618,268368503,35.198064,-101.833107
Amaya,0.229,594086,28.713886,-99.835838
Ames,3.303,8554451,30.045078,-94.737316
Amherst,0.915,2368726,34.011982,-102.414776
Amistad,1.51,3912009,29.524493,-101.15305
Anacua,0.027,68827,26.385581,-98.919151
Anahuac,2.074,5372131,29.765163,-94.678502
Anderson,0.512,1325679,30.486755,-95.990321
Andrews,6.95,18000388,32.321336,-102.551846
Angleton,11.729,30376964,29.171774,-95.429311
Angus,3.291,8522600,31.999468,-96.427686
Anna,17.92,46412270,33.348167,-96.553452
Annetta,3.754,9723344,32.701294,-97.66937
Annetta North,3.777,9781263,32.712846,-97.642379
AnnettaS outh,1.91,4946045,32.672743,-97.616648
Annona,0.801,2074022,33.581811,-94.913079
Anson,2.76,7149487,32.754511,-99.896175
Anthony,6.392,16554952,31.986731,-106.598634
Anton,0.727,1882732,33.810736,-102.16221
Appleby,2.153,5576425,31.717027,-94.60777
Aquilla,0.282,729180,31.853894,-97.21964
Aransas Pass,13.19,34162424,27.914964,-97.103203
Archer,2.355,6099481,33.592689,-98.62683
Arcola,2.567,6648462,29.503789,-95.469568
Argyle,11.563,29949094,33.105493,-97.17752
Arlington,95.848,248243927,32.700708,-97.124691
Arp,2.617,6777748,32.226002,-95.052538
Arroyo Colorado Estates,1.079,2793958,26.185638,-97.611826
Arroyo Gardens,3.941,10208106,26.20145,-97.499704
Asherton,0.817,2114772,28.446118,-99.760322
Aspermont,2.054,5320616,33.140921,-100.224867
Atascocita,23.882,61854386,29.977874,-95.194624
Athens,17.846,46221739,32.202603,-95.830799
Atlanta,12.5,32374782,33.113238,-94.16761
Aubrey,3.706,9598537,33.30855,-96.979088
Aurora,3.723,9641987,33.055942,-97.509615
Austin,326.386,845335855,30.298622,-97.754134
Austwell,0.363,940427,28.391101,-96.843715
Avery,0.95,2459545,33.551195,-94.780084
Avinger,1.945,5037405,32.896894,-94.552742
Azle,8.803,22799995,32.895547,-97.53923
Bacliff,2.542,6582548,29.508637,-94.988677
Bailey,0.398,1030006,33.433622,-96.165093
Bailey's Prairie village,6.986,18093310,29.147803,-95.499847
Baird,2.657,6880644,32.396067,-99.395993
Balch Springs,9.079,23513937,32.713904,-96.618062
Balcones Heights,0.655,1695196,29.490225,-98.549138
Ballinger,3.499,9063052,31.739146,-99.955413
Balmorhea,0.513,1328464,30.982403,-103.744999
BandE,0.07,180524,26.356531,-98.753675
Bandera,1.139,2950960,29.725126,-99.074261
Bangs,1.496,3875360,31.71613,-99.13032
Banquete,2.348,6080115,27.800017,-97.796112
Bardwell,0.305,789265,32.267076,-96.695539
Barksdale,0.882,2283536,29.732902,-100.032828
Barrera,0.021,55677,26.392689,-98.898543
Barrett,6.391,16552513,29.865415,-95.052461
Barry,0.44,1138578,32.100437,-96.640532
Barstow,0.657,1702072,31.461545,-103.395503
Bartlett,1.237,3204963,30.794853,-97.432297
Barton Creek,4.901,12694468,30.283246,-97.86956
Bartonville,6.833,17696844,33.084683,-97.149176
Bastrop,9.224,23889310,30.1111,-97.318152
Batesville,5.915,15319581,28.952424,-99.629311
Bay,9.268,24003486,28.983543,-95.959872
Bayou Vista,0.317,819766,29.32557,-94.939208
Bayside,1.016,2631505,28.096046,-97.210873
Bay,40.501,104897559,29.76478,-94.967457
Bayview,3.884,10059475,26.133441,-97.397632
Beach,4.479,11599325,29.738882,-94.846504
Bear Creek village,1.141,2956001,30.182376,-97.940055
Bear Creek Ranch,0.602,1558665,32.559471,-96.764278
Beasley,1.062,2750799,29.494932,-95.915687
Beaumont,82.14,212741386,30.084912,-94.14533
Beauxart Gardens,0.854,2210945,29.959481,-94.035585
Beaver Creek,3.103,8037580,30.452327,-96.560227
Beckville,1.217,3152935,32.243602,-94.456087
Bedford,10.03,25977950,32.845838,-97.135076
Bedias,1.107,2866882,30.781636,-95.944581
Bee Cave,8.718,22578416,30.307684,-97.962591
Beeville,6.38,16524331,28.405244,-97.748931
Bellaire,3.597,9315780,29.704019,-95.460905
Bellevue,0.842,2180121,33.633508,-98.016347
Bellmead,6.903,17879237,31.601451,-97.089037
Bells,2.122,5496593,33.616488,-96.412736
Bellville,2.723,7051471,29.946639,-96.258839
Belterra,2.345,6073340,30.18853,-97.984517
Belton,20.245,52434536,31.052345,-97.479542
Ben Arnold,6.011,15569512,30.95124,-96.964306
Benavides,1.771,4586034,27.596867,-98.413776
Ben Bolt,12.242,31706367,27.665863,-98.096641
Benbrook,10.762,27873616,32.678284,-97.463601
Benjamin,1.051,2722373,33.583606,-99.792932
Benjamin Perez,0.021,54281,26.406028,-98.899653
Ben Wheeler,3,7770931,32.446547,-95.701859
Berryville,1.309,3390972,32.089249,-95.469807
Bertram,1.879,4866946,30.74198,-98.062355
Beverly Hills,0.658,1705349,31.522339,-97.156347
Bevil Oaks,2.039,5282087,30.15071,-94.270948
Bigfoot,23.909,61923982,29.062275,-98.853353
BigLake,2.388,6185732,31.194112,-101.453406
Big Sandy,1.624,4206975,32.58571,-95.112475
Big Spring,19.145,49584482,32.238341,-101.485739
Big Thicket Lake Estates,2.337,6052942,30.487663,-94.767645
Big Wells,0.555,1436839,28.569882,-99.570178
Bishop,2.412,6246863,27.585254,-97.797403
Bishop Hills,0.313,811726,35.261439,-101.951908
Bivins,1.417,3670968,33.018945,-94.191982
Bixby,1.571,4069233,26.144085,-97.85398
Blackwell,0.591,1531146,32.085054,-100.319357
Blanco,3.488,9033329,30.098594,-98.417106
Blanket,0.645,1671739,31.824444,-98.789668
Bledsoe,0.357,923548,33.618148,-103.018155
Blessing,2.031,5260674,28.87488,-96.216762
Bloomburg,1.007,2608675,33.137797,-94.059076
Blooming Grove,0.858,2221800,32.092362,-96.717295
Bloomington,2.65,6862675,28.650419,-96.902195
Blossom,2.554,6615081,33.663272,-95.383725
BlueBerry Hill,2.913,7544081,28.385506,-97.79208
Blue Mound,0.505,1307258,32.854257,-97.338369
Blue Ridge,1.26,3264008,33.298359,-96.3988
Blue,2.936,7603114,26.069649,-97.818254
Bluff Dale,0.315,814982,32.349674,-98.024873
Blum,0.989,2561648,32.141989,-97.397122
Boerne,11.754,30443293,29.784938,-98.727949
Bogata,1.415,3663615,33.469793,-95.21355
Boling,4.666,12085402,29.253144,-95.944746
Bolivar Peninsula,42.477,110015148,29.489778,-94.568501
Bonanza Hills,1.113,2883521,27.794768,-99.469502
Bonham,9.833,25467532,33.588022,-96.190095
Bonney village,1.96,5075497,29.301293,-95.450845
Booker,1.053,2727370,36.456143,-100.540224
Borger,9.032,23393565,35.659435,-101.40236
Botines,1.901,4922524,27.771895,-99.45712
Bovina,1.178,3051379,34.515657,-102.884656
Bowie,5.519,14293146,33.556959,-97.846101
Box Canyon,1.446,3744698,29.533512,-101.15861
Boyd,4.097,10611865,33.084347,-97.563208
Boys Ranch,1.597,4136831,35.535154,-102.252608
Brackettville,3.169,8207654,29.318201,-100.410503
Brady,8.943,23161372,31.115378,-99.345935
Brazoria,2.645,6849567,29.044715,-95.564665
Brazos,0.34,880133,32.662266,-98.123619
Brazos Country,1.953,5058249,29.753095,-96.038012
Breckenridge,4.197,10870049,32.756751,-98.912985
Bremond,0.886,2294431,31.165709,-96.675975
Brenham,13.055,33811253,30.15816,-96.395616
Briar,20.33,52654918,33.019013,-97.575402
Briarcliff village,1.573,4073568,30.409279,-98.044528
Briar oaks,1.114,2886525,32.495376,-97.30335
Bridge,6.436,16670037,30.0309,-93.838115
Bridgeport,7.86,20358027,33.210449,-97.772466
Briggs,0.55,1424535,30.889458,-97.921803
Bristol,5.785,14982090,32.444786,-96.567673
Broaddus,0.373,966120,31.304974,-94.27004
Bronte,1.436,3718254,31.886052,-100.295123
Brookshire,4.33,11213444,29.782391,-95.951441
Brookside Village,2.043,5290138,29.590842,-95.317967
Brookston,0.736,1906254,33.62349,-95.700053
Browndell,2.444,6328673,31.125373,-93.980137
Brownfield,6.512,16866566,33.175514,-102.273429
Brownsboro,2.373,6145168,32.29842,-95.613042
Brownsville,133.392,345483920,25.995689,-97.450848
Brownwood,14.921,38644347,31.712856,-98.977053
Bruceville-Eddy,4.134,10706016,31.308005,-97.257385
