Agency type,Agency,Population,Total Offenses,Crimes Against Persons,Crimes Against Property,Crimes Against Society,"Assault
Offenses","Aggravated
Assault","Simple
Assault",Intimidation,"Homicide
Offenses","Murder and
Nonnegligent
Manslaughter","Negligent
Man-
slaughter","Justifiable
Homicide","Human
Trafficking
Offenses","Commercial
Sex Acts","Involuntary
Servitude","Kidnapping/
Abduction","Sex
Offenses",Rape,Sodomy,"Sexual
Assault
With an
Object","Criminal
Sexual
Contact2",Incest,"Statutory
Rape",Arson,Bribery,"Burglary/
Breaking &
Entering","Counterfiting/
Forgery","Destruction/
Damage/
Vandalism
of Property",Embezzlement,"Extortion/
Blackmail","Fraud
Offenses","False
Pretenses/
Swindle/
Confidence
Game","Credit
Card/
Automated
Teller
Machine
Fraud",Impersonation,"Welfare
Fraud","Wire
Fraud","Identity 
Theft","Hacking/
Computer 
Invasion","Larceny/
Theft
Offenses",Pocketpicking,Purse snatching,"Shop 
lifting","Theft
From
Building","Theft
From
Coin Op-
erated
Machine
or Device","Theft
From
Motor
Vehicle","Theft of 
Motor 
Vehicle
Parts or
Acces-
sories","All
Other
Larceny","Motor
Vehicle
Theft",Robbery,"Stolen
Property
Offenses","Animal 
Cruelty","Drug/
Narcotic
Offenses","Drug/
Narcotic
Violations","Drug
Equipment
Violations","Gambling
Offenses","Betting/
Wagering","Operating/
Promoting/
Assisting
Gambling","Gambling
Equipment
Violations","Sports
Tampering","Pornography/
Obscene
Material","Prostitution
Offenses",Prostitution,"Assisting or
Promoting
Prostitution","Purchasing
Prostitution","Weapon
Law
Violations"
Cities,Abernathy,2792,25,7,5,13,5,0,5,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,13,12,1,0,0,0,0,0,0,0,0,0,0,0
,Abilene,128387,7636,2832,3616,1188,2667,393,1981,293,7,6,1,0,0,0,0,8,150,68,27,16,39,0,0,3,0,394,64,678,24,0,555,254,159,3,1,1,137,0,1680,3,0,395,413,5,361,70,433,156,62,0,7,880,706,174,0,0,0,0,0,125,6,1,3,2,170
,Addison,17527,2396,461,1647,288,428,33,326,69,3,3,0,0,1,1,0,17,12,8,1,0,3,0,0,1,0,78,22,190,0,0,121,28,30,3,0,0,59,1,827,5,1,10,13,0,231,181,386,390,18,0,2,243,125,118,0,0,0,0,0,0,1,1,0,0,42
,Alamo,20640,1685,257,1100,328,214,99,65,50,1,1,0,0,0,0,0,13,29,11,1,4,13,0,0,2,0,96,20,184,0,0,4,3,1,0,0,0,0,0,727,0,0,0,0,0,154,0,573,63,4,0,0,313,177,136,0,0,0,0,0,1,0,0,0,0,14
,Alamo Heights,7609,389,23,238,128,23,2,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,28,0,0,21,2,1,0,0,0,18,0,151,0,0,34,0,0,48,9,60,19,1,0,0,122,27,95,0,0,0,0,0,2,0,0,0,0,4
,Alba,502,23,10,4,9,10,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,9,3,6,0,0,0,0,0,0,0,0,0,0,0
,Alice,17622,1636,592,739,305,560,95,355,110,1,1,0,0,0,0,0,11,20,12,3,1,4,0,0,2,0,104,43,182,0,0,24,24,0,0,0,0,0,0,336,0,0,0,3,0,67,2,264,39,8,1,0,265,231,34,0,0,0,0,0,5,0,0,0,0,35
,Allen,114696,2745,556,1605,584,497,87,344,66,14,13,1,0,4,3,1,6,35,20,2,1,12,0,0,1,0,86,55,136,16,10,393,63,83,46,0,47,135,19,755,2,1,234,112,0,187,104,115,108,11,34,11,412,368,44,0,0,0,0,0,97,7,6,1,0,57
,Alma,414,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Alpine,5869,29,21,8,0,21,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
