Unnamed: 0,State,Metropolitan.Nonmetropolitan,County,County.2,Violent.crime,Murder.and.nonnegligent.manslaughter,Rape,Robbery,Aggravated.assault,Property.crime,Burglary,Larceny..theft,Motor.vehicle.theft,Arson1,Percent..SEX.AND.AGE..Total.population,Percent..SEX.AND.AGE..Male,Percent..SEX.AND.AGE..Female,Percent..SEX.AND.AGE..Under.5.years,Percent..SEX.AND.AGE..5.to.9.years,Percent..SEX.AND.AGE..10.to.14.years,Percent..SEX.AND.AGE..15.to.19.years,Percent..SEX.AND.AGE..20.to.24.years,Percent..SEX.AND.AGE..25.to.34.years,Percent..SEX.AND.AGE..35.to.44.years,Percent..SEX.AND.AGE..45.to.54.years,Percent..SEX.AND.AGE..55.to.59.years,Percent..SEX.AND.AGE..60.to.64.years,Percent..SEX.AND.AGE..65.to.74.years,Percent..SEX.AND.AGE..75.to.84.years,Percent..SEX.AND.AGE..85.years.and.over,Percent..SEX.AND.AGE..Median.age..years.,Percent..SEX.AND.AGE..18.years.and.over,Percent..SEX.AND.AGE..21.years.and.over,Percent..SEX.AND.AGE..62.years.and.over,Percent..SEX.AND.AGE..65.years.and.over,Percent..SEX.AND.AGE..18.years.and.over.1,Percent..SEX.AND.AGE..Male.1,Percent..SEX.AND.AGE..Female.1,Percent..SEX.AND.AGE..65.years.and.over.1,Percent..SEX.AND.AGE..Male.2,Percent..SEX.AND.AGE..Female.2,Percent..RACE..Total.population,Percent..RACE..One.race,Percent..RACE..Two.or.more.races,Percent..RACE..One.race.1,Percent..RACE..One.race..White,Percent..RACE..One.race..Black.or.African.American,Percent..RACE..One.race..American.Indian.and.Alaska.Native,Percent..RACE..One.race..American.Indian.and.Alaska.Native..Cherokee.tribal.grouping,Percent..RACE..One.race..American.Indian.and.Alaska.Native..Chippewa.tribal.grouping,Percent..RACE..One.race..American.Indian.and.Alaska.Native..Navajo.tribal.grouping,Percent..RACE..One.race..American.Indian.and.Alaska.Native..Sioux.tribal.grouping,Percent..RACE..One.race..Asian,Percent..RACE..One.race..Asian..Asian.Indian,Percent..RACE..One.race..Asian..Chinese,Percent..RACE..One.race..Asian..Filipino,Percent..RACE..One.race..Asian..Japanese,Percent..RACE..One.race..Asian..Korean,Percent..RACE..One.race..Asian..Vietnamese,Percent..RACE..One.race..Asian..Other.Asian,Percent..RACE..One.race..Native.Hawaiian.and.Other.Pacific.Islander,Percent..RACE..One.race..Native.Hawaiian.and.Other.Pacific.Islander..Native.Hawaiian,Percent..RACE..One.race..Native.Hawaiian.and.Other.Pacific.Islander..Guamanian.or.Chamorro,Percent..RACE..One.race..Native.Hawaiian.and.Other.Pacific.Islander..Samoan,Percent..RACE..One.race..Native.Hawaiian.and.Other.Pacific.Islander..Other.Pacific.Islander,Percent..RACE..One.race..Some.other.race,Percent..RACE..Two.or.more.races.1,Percent..RACE..Two.or.more.races..White.and.Black.or.African.American,Percent..RACE..Two.or.more.races..White.and.American.Indian.and.Alaska.Native,Percent..RACE..Two.or.more.races..White.and.Asian,Percent..RACE..Two.or.more.races..Black.or.African.American.and.American.Indian.and.Alaska.Native,Percent..RACE..Race.alone.or.in.combination.with.one.or.more.other.races..Total.population,Percent..RACE..White,Percent..RACE..Black.or.African.American,Percent..RACE..American.Indian.and.Alaska.Native,Percent..RACE..Asian,Percent..RACE..Native.Hawaiian.and.Other.Pacific.Islander,Percent..RACE..Some.other.race,Percent..HISPANIC.OR.LATINO.AND.RACE..Total.population,Percent..HISPANIC.OR.LATINO.AND.RACE..Hispanic.or.Latino..of.any.race.,Percent..HISPANIC.OR.LATINO.AND.RACE..Hispanic.or.Latino..of.any.race...Mexican,Percent..HISPANIC.OR.LATINO.AND.RACE..Hispanic.or.Latino..of.any.race...Puerto.Rican,Percent..HISPANIC.OR.LATINO.AND.RACE..Hispanic.or.Latino..of.any.race...Cuban,Percent..HISPANIC.OR.LATINO.AND.RACE..Hispanic.or.Latino..of.any.race...Other.Hispanic.or.Latino,Percent..HISPANIC.OR.LATINO.AND.RACE..Not.Hispanic.or.Latino,Percent..HISPANIC.OR.LATINO.AND.RACE..Not.Hispanic.or.Latino..White.alone,Percent..HISPANIC.OR.LATINO.AND.RACE..Not.Hispanic.or.Latino..Black.or.African.American.alone,Percent..HISPANIC.OR.LATINO.AND.RACE..Not.Hispanic.or.Latino..American.Indian.and.Alaska.Native.alone,Percent..HISPANIC.OR.LATINO.AND.RACE..Not.Hispanic.or.Latino..Asian.alone,Percent..HISPANIC.OR.LATINO.AND.RACE..Not.Hispanic.or.Latino..Native.Hawaiian.and.Other.Pacific.Islander.alone,Percent..HISPANIC.OR.LATINO.AND.RACE..Not.Hispanic.or.Latino..Some.other.race.alone,Percent..HISPANIC.OR.LATINO.AND.RACE..Not.Hispanic.or.Latino..Two.or.more.races,Percent..HISPANIC.OR.LATINO.AND.RACE..Not.Hispanic.or.Latino..Two.or.more.races..Two.races.including.Some.other.race,Percent..HISPANIC.OR.LATINO.AND.RACE..Not.Hispanic.or.Latino..Two.or.more.races..Two.races.excluding.Some.other.race..and.Three.or.more.races,Percent..Total.housing.units,Median_Income_2023
1,ALABAMA,Metropolitan County,Autauga,Autauga County,54,1.0,7.0,0,46,221,46,143,32,1.0,53155.0,48.5,51.5,6.6,7.4,8.1,8.6,5.5,12.0,15.6,14.5,5.2,5.1,7.1,3.2,1.1,(X),72.3,67.9,14.3,11.4,38430.0,47.6,52.4,6060.0,42.3,57.7,53155.0,98.5,1.5,98.5,79.1,17.9,0.3,0.1,0.0,0.1,0.0,0.7,0.1,0.0,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.5,0.2,0.6,0.4,0.0,53155.0,80.4,18.2,1.0,1.1,0.1,0.7,53155.0,2.3,1.0,0.6,0.0,0.7,97.7,77.6,17.8,0.3,0.7,0.0,0.1,1.3,0.0,1.2,(X),68857.0
2,ALABAMA,Metropolitan County,Baldwin,Baldwin County,137,0.0,4.0,0,133,170,23,142,5,2.0,175791.0,48.9,51.1,6.2,6.5,6.6,6.4,5.2,11.3,13.3,14.9,6.6,6.5,9.5,5.4,1.6,(X),76.7,73.3,20.1,16.5,134817.0,48.3,51.7,28990.0,46.4,53.6,175791.0,98.6,1.4,98.6,86.2,9.5,0.6,0.1,0.1,0.0,0.0,0.7,0.1,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.8,1.4,0.2,0.5,0.2,0.1,175791.0,87.3,10.0,1.4,1.0,0.0,1.9,175791.0,3.9,2.4,0.1,0.3,1.1,96.1,84.1,9.4,0.6,0.7,0.0,0.1,1.3,0.0,1.2,(X),74248.0
3,ALABAMA,Metropolitan County,Bibb,Bibb County,34,0.0,5.0,0,29,78,26,43,9,0.0,22610.0,53.8,46.2,6.1,6.6,6.4,7.0,7.3,12.2,15.9,14.5,5.7,6.0,7.2,4.6,0.7,(X),76.6,72.5,15.7,12.4,17312.0,53.2,46.8,2812.0,42.1,57.9,22610.0,99.8,0.2,99.8,84.2,15.3,0.2,0.1,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.1,22610.0,84.3,15.4,0.4,0.2,0.0,0.0,22610.0,0.6,0.6,0.0,0.0,0.0,99.4,83.6,15.3,0.2,0.2,0.0,0.0,0.2,0.0,0.2,(X),56025.0
4,ALABAMA,Metropolitan County,Blount,Blount County,82,1.0,18.0,2,61,298,66,180,52,2.0,56692.0,49.5,50.5,6.4,6.5,7.6,6.9,5.5,12.2,14.3,14.2,5.9,6.4,8.5,4.6,1.2,(X),75.2,71.3,18.1,14.2,42644.0,48.7,51.3,8054.0,43.5,56.5,56692.0,98.9,1.1,98.9,95.1,1.3,0.4,0.3,0.0,0.0,0.0,0.4,0.3,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.1,0.4,0.6,0.0,0.0,56692.0,96.2,1.7,1.1,0.4,0.0,1.7,56692.0,7.5,6.7,0.1,0.0,0.7,92.5,89.5,1.2,0.4,0.4,0.0,0.0,1.0,0.0,1.0,(X),64962.0
5,ALABAMA,Metropolitan County,Calhoun,Calhoun County,238,2.0,5.0,0,231,192,48,144,0,8.0,117149.0,48.1,51.9,6.2,6.8,6.1,7.1,7.5,12.7,12.9,14.5,6.9,5.3,7.8,4.8,1.5,(X),77.0,72.0,17.0,14.1,90174.0,47.2,52.8,16497.0,40.8,59.2,117149.0,98.7,1.3,98.7,75.5,20.4,0.4,0.3,0.0,0.0,0.0,0.7,0.2,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.0,1.5,1.3,0.5,0.4,0.1,0.1,117149.0,76.7,21.1,0.9,1.0,0.1,1.6,117149.0,3.0,2.0,0.3,0.2,0.5,97.0,74.3,20.2,0.4,0.7,0.1,0.0,1.3,0.0,1.3,(X),51841.0
6,ALABAMA,Metropolitan County,Chilton,Chilton County,64,2.0,5.0,2,55,419,181,189,49,4.0,43121.0,49.4,50.6,6.9,6.9,7.0,6.8,6.1,13.0,14.2,13.9,6.8,5.1,7.8,4.2,1.3,(X),74.7,71.0,15.9,13.3,32208.0,48.8,51.2,5728.0,44.1,55.9,43121.0,98.6,1.4,98.6,87.5,9.4,0.6,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,0.8,0.3,0.1,0.0,43121.0,88.8,10.3,0.9,0.3,0.0,1.0,43121.0,6.5,6.2,0.1,0.0,0.2,93.5,82.3,9.2,0.4,0.2,0.0,0.1,1.4,0.1,1.3,(X),59165.0
7,ALABAMA,Metropolitan County,Colbert,Colbert County,15,0.0,1.0,0,14,90,19,55,16,1.0,54446.0,48.1,51.9,5.6,6.6,6.0,6.9,5.1,11.2,13.5,15.3,6.9,5.9,9.3,5.7,2.1,(X),77.7,73.9,20.3,17.0,42307.0,47.0,53.0,9282.0,41.7,58.3,54446.0,98.9,1.1,98.9,81.4,16.1,0.6,0.2,0.0,0.0,0.0,0.5,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.3,1.1,0.3,0.4,0.0,0.1,54446.0,82.4,16.6,1.1,0.5,0.0,0.6,54446.0,2.0,1.0,0.2,0.1,0.8,98.0,80.0,16.0,0.6,0.5,0.0,0.0,0.9,0.0,0.9,(X),57770.0
8,ALABAMA,Metropolitan County,Elmore,Elmore County,41,2.0,3.0,0,36,314,105,188,21,1.0,77650.0,49.3,50.7,6.2,6.7,6.7,7.5,6.3,13.4,15.1,15.3,6.1,5.4,6.8,3.1,1.5,(X),75.8,71.4,14.4,11.4,58885.0,48.7,51.3,8886.0,44.7,55.3,77650.0,98.7,1.3,98.7,76.0,20.1,0.4,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,1.6,1.3,0.5,0.4,0.2,0.0,77650.0,77.1,20.8,0.8,0.9,0.0,1.7,77650.0,2.5,1.8,0.2,0.0,0.6,97.5,75.3,20.0,0.4,0.6,0.0,0.0,1.2,0.0,1.2,(X),73125.0
9,ALABAMA,Metropolitan County,Etowah,Etowah County,13,2.0,0.0,0,11,55,14,33,8,4.0,104066.0,48.3,51.7,6.0,6.7,6.2,7.0,5.9,11.8,13.5,14.3,6.9,6.1,8.4,5.2,2.1,(X),76.7,72.8,19.0,15.6,79856.0,47.3,52.7,16215.0,41,59,104066.0,98.6,1.4,98.6,82.1,15.0,0.4,0.2,0.0,0.0,0.0,0.6,0.1,0.2,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.4,1.4,0.6,0.5,0.1,0.0,104066.0,83.4,15.8,1.0,0.8,0.0,0.4,104066.0,3.1,1.4,0.0,0.2,1.5,96.9,79.8,14.9,0.3,0.6,0.0,0.0,1.3,0.0,1.3,(X),52504.0
10,ALABAMA,Metropolitan County,Geneva,Geneva County,0,0.0,0.0,0,0,0,0,0,0,0.0,26541.0,48.6,51.4,5.8,5.1,7.7,6.9,5.7,10.3,13.0,15.1,6.6,6.6,9.7,5.1,2.4,(X),77.4,73.4,21.4,17.2,20532.0,47.9,52.1,4572.0,42.4,57.6,26541.0,98.3,1.7,98.3,87.2,10.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.7,0.2,1.1,0.0,0.0,26541.0,88.9,10.5,1.4,0.1,0.0,0.9,26541.0,3.2,2.7,0.0,0.1,0.5,96.8,84.9,10.2,0.2,0.1,0.0,0.0,1.4,0.0,1.4,(X),50006.0
